"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2019-02-14"," 9:44:00 AM","2019-02-14"," 3:27:00 PM","","","","","","","15.88","1318.97"
"1.1","2019-02-14"," 9:44:00 AM","2019-02-14"," 3:27:00 PM","CE","10800","Sell","65","14.39","0.05","","932.28"
"1.2","2019-02-14"," 9:44:00 AM","2019-02-14"," 3:27:00 PM","CE","10850","Sell","65","53.87","47.92","","386.69"
"2","2019-02-21"," 9:44:00 AM","2019-02-21"," 12:53:00 PM","","","","","","","17.01","-2268.41"
"2.1","2019-02-21"," 9:44:00 AM","2019-02-21"," 12:53:00 PM","CE","10750","Sell","65","17.99","35.82","","-1158.75"
"2.2","2019-02-21"," 9:44:00 AM","2019-02-21"," 12:53:00 PM","CE","10800","Sell","65","63.12","80.19","","-1109.66"
"3","2019-02-28"," 9:44:00 AM","2019-02-28"," 3:27:00 PM","","","","","","","18.32","1822.10"
"3.1","2019-02-28"," 9:44:00 AM","2019-02-28"," 3:27:00 PM","CE","10850","Sell","65","18.49","0.05","","1198.65"
"3.2","2019-02-28"," 9:44:00 AM","2019-02-28"," 3:27:00 PM","CE","10900","Sell","65","63.27","53.68","","623.45"
"4","2019-03-07"," 9:44:00 AM","2019-03-07"," 3:27:00 PM","","","","","","","15.64","971.07"
"4.1","2019-03-07"," 9:44:00 AM","2019-03-07"," 3:27:00 PM","CE","11050","Sell","65","15.44","1.90","","880.19"
"4.2","2019-03-07"," 9:44:00 AM","2019-03-07"," 3:27:00 PM","CE","11100","Sell","65","52.42","51.03","","90.89"
"5","2019-03-14"," 9:44:00 AM","2019-03-14"," 3:27:00 PM","","","","","","","15.20","1815.65"
"5.1","2019-03-14"," 9:44:00 AM","2019-03-14"," 3:27:00 PM","CE","11350","Sell","65","24.64","0.05","","1598.20"
"5.2","2019-03-14"," 9:44:00 AM","2019-03-14"," 3:27:00 PM","CE","11400","Sell","65","56.17","52.83","","217.46"
"6","2019-03-20"," 9:44:00 AM","2019-03-20"," 3:27:00 PM","","","","","","","15.95","1111.71"
"6.1","2019-03-20"," 9:44:00 AM","2019-03-20"," 3:27:00 PM","CE","11550","Sell","65","11.34","0.05","","734.13"
"6.2","2019-03-20"," 9:44:00 AM","2019-03-20"," 3:27:00 PM","CE","11650","Sell","65","43.93","38.12","","377.58"
"7","2019-03-28"," 9:44:00 AM","2019-03-28"," 9:55:00 AM","","","","","","","17.16","-2141.80"
"7.1","2019-03-28"," 9:44:00 AM","2019-03-28"," 9:55:00 AM","CE","11500","Sell","65","13.64","30.32","","-1083.68"
"7.2","2019-03-28"," 9:44:00 AM","2019-03-28"," 9:55:00 AM","CE","11550","Sell","65","70.66","86.94","","-1058.12"
"8","2019-04-04"," 9:44:00 AM","2019-04-04"," 3:27:00 PM","","","","","","","19.02","3613.49"
"8.1","2019-04-04"," 9:44:00 AM","2019-04-04"," 3:27:00 PM","CE","11650","Sell","65","29.19","0.05","","1893.80"
"8.2","2019-04-04"," 9:44:00 AM","2019-04-04"," 3:27:00 PM","CE","11750","Sell","65","56.37","29.91","","1719.70"
"9","2019-04-11"," 9:44:00 AM","2019-04-11"," 3:27:00 PM","","","","","","","21.24","1572.59"
"9.1","2019-04-11"," 9:44:00 AM","2019-04-11"," 3:27:00 PM","CE","11600","Sell","65","19.24","0.10","","1244.12"
"9.2","2019-04-11"," 9:44:00 AM","2019-04-11"," 3:27:00 PM","CE","11700","Sell","65","49.23","44.17","","328.46"
"10","2019-04-18"," 9:44:00 AM","2019-04-18"," 3:27:00 PM","","","","","","","22.35","2220.01"
"10.1","2019-04-18"," 9:44:00 AM","2019-04-18"," 3:27:00 PM","CE","11800","Sell","65","15.14","0.05","","981.01"
"10.2","2019-04-18"," 9:44:00 AM","2019-04-18"," 3:27:00 PM","CE","11850","Sell","65","47.98","28.91","","1239.00"
"11","2019-04-25"," 9:44:00 AM","2019-04-25"," 11:19:00 AM","","","","","","","23.17","-2009.83"
"11.1","2019-04-25"," 9:44:00 AM","2019-04-25"," 11:19:00 AM","CE","11750","Sell","65","16.24","37.37","","-1373.24"
"11.2","2019-04-25"," 9:44:00 AM","2019-04-25"," 11:19:00 AM","CE","11800","Sell","65","38.73","48.52","","-636.59"
"12","2019-05-02"," 9:44:00 AM","2019-05-02"," 10:14:00 AM","","","","","","","22.50","-2107.99"
"12.1","2019-05-02"," 9:44:00 AM","2019-05-02"," 10:14:00 AM","CE","11750","Sell","65","19.44","38.52","","-1240.13"
"12.2","2019-05-02"," 9:44:00 AM","2019-05-02"," 10:14:00 AM","CE","11800","Sell","65","44.98","58.33","","-867.86"
"13","2019-05-09"," 9:44:00 AM","2019-05-09"," 10:52:00 AM","","","","","","","26.16","-2145.83"
"13.1","2019-05-09"," 9:44:00 AM","2019-05-09"," 10:52:00 AM","CE","11300","Sell","65","31.43","51.68","","-1315.70"
"13.2","2019-05-09"," 9:44:00 AM","2019-05-09"," 10:52:00 AM","CE","11400","Sell","65","64.82","77.59","","-830.13"
"14","2019-05-16"," 9:44:00 AM","2019-05-16"," 2:09:00 PM","","","","","","","28.48","-2082.65"
"14.1","2019-05-16"," 9:44:00 AM","2019-05-16"," 2:09:00 PM","CE","11200","Sell","65","18.69","39.32","","-1340.88"
"14.2","2019-05-16"," 9:44:00 AM","2019-05-16"," 2:09:00 PM","CE","11400","Sell","65","156.12","167.53","","-741.77"
"15","2019-05-23"," 9:44:00 AM","2019-05-23"," 9:50:00 AM","","","","","","","20.32","-2792.43"
"15.1","2019-05-23"," 9:44:00 AM","2019-05-23"," 9:50:00 AM","CE","11950","Sell","65","84.06","101.90","","-1159.79"
"15.2","2019-05-23"," 9:44:00 AM","2019-05-23"," 9:50:00 AM","CE","12050","Sell","65","104.95","130.06","","-1632.64"
"16","2019-05-30"," 9:44:00 AM","2019-05-30"," 12:16:00 PM","","","","","","","15.70","-2214.03"
"16.1","2019-05-30"," 9:44:00 AM","2019-05-30"," 12:16:00 PM","CE","11900","Sell","65","29.04","44.27","","-990.38"
"16.2","2019-05-30"," 9:44:00 AM","2019-05-30"," 12:16:00 PM","CE","11950","Sell","65","65.87","84.69","","-1223.64"
"17","2019-06-06"," 9:44:00 AM","2019-06-06"," 3:27:00 PM","","","","","","","15.82","4575.91"
"17.1","2019-06-06"," 9:44:00 AM","2019-06-06"," 3:27:00 PM","CE","12000","Sell","65","26.39","0.05","","1711.89"
"17.2","2019-06-06"," 9:44:00 AM","2019-06-06"," 3:27:00 PM","CE","12050","Sell","65","60.17","16.11","","2864.02"
"18","2019-06-13"," 9:44:00 AM","2019-06-13"," 3:27:00 PM","","","","","","","14.03","-62.13"
"18.1","2019-06-13"," 9:44:00 AM","2019-06-13"," 3:27:00 PM","CE","11900","Sell","65","11.99","5.60","","415.43"
"18.2","2019-06-13"," 9:44:00 AM","2019-06-13"," 3:27:00 PM","CE","11950","Sell","65","43.33","50.68","","-477.55"
"19","2019-06-20"," 9:44:00 AM","2019-06-20"," 10:15:00 AM","","","","","","","14.60","-2020.69"
"19.1","2019-06-20"," 9:44:00 AM","2019-06-20"," 10:15:00 AM","CE","11700","Sell","65","26.19","43.92","","-1152.78"
"19.2","2019-06-20"," 9:44:00 AM","2019-06-20"," 10:15:00 AM","CE","11800","Sell","65","45.83","59.18","","-867.91"
"20","2019-06-27"," 9:44:00 AM","2019-06-27"," 3:27:00 PM","","","","","","","14.67","1552.57"
"20.1","2019-06-27"," 9:44:00 AM","2019-06-27"," 3:27:00 PM","CE","11900","Sell","65","18.64","0.05","","1208.39"
"20.2","2019-06-27"," 9:44:00 AM","2019-06-27"," 3:27:00 PM","CE","11950","Sell","65","57.62","52.33","","344.18"
"21","2019-07-04"," 9:44:00 AM","2019-07-04"," 3:27:00 PM","","","","","","","13.55","1168.89"
"21.1","2019-07-04"," 9:44:00 AM","2019-07-04"," 3:27:00 PM","CE","11950","Sell","65","19.49","0.05","","1263.61"
"21.2","2019-07-04"," 9:44:00 AM","2019-07-04"," 3:27:00 PM","CE","12050","Sell","65","56.57","58.03","","-94.72"
"22","2019-07-11"," 9:44:00 AM","2019-07-11"," 1:44:00 PM","","","","","","","13.10","-2173.32"
"22.1","2019-07-11"," 9:44:00 AM","2019-07-11"," 1:44:00 PM","CE","11550","Sell","65","19.04","40.12","","-1370.17"
"22.2","2019-07-11"," 9:44:00 AM","2019-07-11"," 1:44:00 PM","CE","11600","Sell","65","49.98","62.33","","-803.15"
"23","2019-07-18"," 9:44:00 AM","2019-07-18"," 3:27:00 PM","","","","","","","11.93","1707.03"
"23.1","2019-07-18"," 9:44:00 AM","2019-07-18"," 3:27:00 PM","CE","11650","Sell","65","14.69","0.05","","951.77"
"23.2","2019-07-18"," 9:44:00 AM","2019-07-18"," 3:27:00 PM","CE","11700","Sell","65","36.38","24.76","","755.26"
"24","2019-07-25"," 9:44:00 AM","2019-07-25"," 3:27:00 PM","","","","","","","12.39","2519.15"
"24.1","2019-07-25"," 9:44:00 AM","2019-07-25"," 3:27:00 PM","CE","11350","Sell","65","21.69","0.05","","1406.54"
"24.2","2019-07-25"," 9:44:00 AM","2019-07-25"," 3:27:00 PM","CE","11400","Sell","65","41.48","24.36","","1112.61"
"25","2019-08-01"," 9:44:00 AM","2019-08-01"," 3:27:00 PM","","","","","","","13.93","2722.33"
"25.1","2019-08-01"," 9:44:00 AM","2019-08-01"," 3:27:00 PM","CE","11050","Sell","65","25.34","0.05","","1643.67"
"25.2","2019-08-01"," 9:44:00 AM","2019-08-01"," 3:27:00 PM","CE","11100","Sell","65","63.52","46.92","","1078.66"
"26","2019-08-08"," 9:44:00 AM","2019-08-08"," 10:20:00 AM","","","","","","","16.48","-2151.71"
"26.1","2019-08-08"," 9:44:00 AM","2019-08-08"," 10:20:00 AM","CE","10850","Sell","65","31.28","53.03","","-1413.24"
"26.2","2019-08-08"," 9:44:00 AM","2019-08-08"," 10:20:00 AM","CE","10950","Sell","65","55.42","66.78","","-738.47"
"27","2019-08-14"," 9:44:00 AM","2019-08-14"," 10:21:00 AM","","","","","","","17.08","-2278.80"
"27.1","2019-08-14"," 9:44:00 AM","2019-08-14"," 10:21:00 AM","CE","10950","Sell","65","34.48","55.88","","-1390.69"
"27.2","2019-08-14"," 9:44:00 AM","2019-08-14"," 10:21:00 AM","CE","11050","Sell","65","56.42","70.09","","-888.11"
"28","2019-08-22"," 9:44:00 AM","2019-08-22"," 3:27:00 PM","","","","","","","17.22","4669.42"
"28.1","2019-08-22"," 9:44:00 AM","2019-08-22"," 3:27:00 PM","CE","10900","Sell","65","24.94","0.05","","1617.69"
"28.2","2019-08-22"," 9:44:00 AM","2019-08-22"," 3:27:00 PM","CE","10950","Sell","65","73.76","26.81","","3051.73"
"29","2019-08-29"," 9:44:00 AM","2019-08-29"," 3:27:00 PM","","","","","","","16.92","2488.41"
"29.1","2019-08-29"," 9:44:00 AM","2019-08-29"," 3:27:00 PM","CE","11000","Sell","65","29.24","0.05","","1897.05"
"29.2","2019-08-29"," 9:44:00 AM","2019-08-29"," 3:27:00 PM","CE","11100","Sell","65","56.62","47.52","","591.37"
"30","2019-09-05"," 9:44:00 AM","2019-09-05"," 10:28:00 AM","","","","","","","16.88","-2045.21"
"30.1","2019-09-05"," 9:44:00 AM","2019-09-05"," 10:28:00 AM","CE","10900","Sell","65","28.24","45.32","","-1110.64"
"30.2","2019-09-05"," 9:44:00 AM","2019-09-05"," 10:28:00 AM","CE","10950","Sell","65","70.76","85.14","","-934.57"
"31","2019-09-12"," 9:44:00 AM","2019-09-12"," 3:27:00 PM","","","","","","","14.63","2785.80"
"31.1","2019-09-12"," 9:44:00 AM","2019-09-12"," 3:27:00 PM","CE","11100","Sell","65","13.94","0.05","","903.04"
"31.2","2019-09-12"," 9:44:00 AM","2019-09-12"," 3:27:00 PM","CE","11150","Sell","65","48.98","20.01","","1882.76"
"32","2019-09-19"," 9:44:00 AM","2019-09-19"," 3:27:00 PM","","","","","","","15.40","3580.74"
"32.1","2019-09-19"," 9:44:00 AM","2019-09-19"," 3:27:00 PM","CE","10800","Sell","65","23.49","0.05","","1523.48"
