"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2019-07-04"," 9:44:00 AM","2019-07-04"," 3:27:00 PM","","","","","","","NA","1168.89"
"1.1","2019-07-04"," 9:44:00 AM","2019-07-04"," 3:27:00 PM","CE","11950","Sell","65","19.49","0.05","","1263.61"
"1.2","2019-07-04"," 9:44:00 AM","2019-07-04"," 3:27:00 PM","CE","12050","Sell","65","56.57","58.03","","-94.72"
"2","2019-07-11"," 9:44:00 AM","2019-07-11"," 12:08:00 PM","","","","","","","NA","-944.21"
"2.1","2019-07-11"," 9:44:00 AM","2019-07-11"," 9:50:00 AM","CE","11550","Sell","65","19.04","23.81","","-310.14"
"2.2","2019-07-11"," 9:44:00 AM","2019-07-11"," 12:08:00 PM","CE","11600","Sell","65","49.98","59.73","","-634.07"
"3","2019-07-18"," 9:44:00 AM","2019-07-18"," 9:52:00 AM","","","","","","","NA","-679.66"
"3.1","2019-07-18"," 9:44:00 AM","2019-07-18"," 9:51:00 AM","CE","11650","Sell","65","14.69","18.41","","-241.58"
"3.2","2019-07-18"," 9:44:00 AM","2019-07-18"," 9:52:00 AM","CE","11700","Sell","65","36.38","43.12","","-438.08"
"4","2019-07-25"," 9:44:00 AM","2019-07-25"," 3:27:00 PM","","","","","","","NA","2519.15"
"4.1","2019-07-25"," 9:44:00 AM","2019-07-25"," 3:27:00 PM","CE","11350","Sell","65","21.69","0.05","","1406.54"
"4.2","2019-07-25"," 9:44:00 AM","2019-07-25"," 3:27:00 PM","CE","11400","Sell","65","41.48","24.36","","1112.61"
"5","2019-08-01"," 9:44:00 AM","2019-08-01"," 3:27:00 PM","","","","","","","NA","2722.33"
"5.1","2019-08-01"," 9:44:00 AM","2019-08-01"," 3:27:00 PM","CE","11050","Sell","65","25.34","0.05","","1643.67"
"5.2","2019-08-01"," 9:44:00 AM","2019-08-01"," 3:27:00 PM","CE","11100","Sell","65","63.52","46.92","","1078.66"
"6","2019-08-08"," 9:44:00 AM","2019-08-08"," 10:11:00 AM","","","","","","","NA","-1137.20"
"6.1","2019-08-08"," 9:44:00 AM","2019-08-08"," 10:06:00 AM","CE","10850","Sell","65","31.28","39.12","","-509.29"
"6.2","2019-08-08"," 9:44:00 AM","2019-08-08"," 10:11:00 AM","CE","10950","Sell","65","55.42","65.08","","-627.92"
"7","2019-08-14"," 9:44:00 AM","2019-08-14"," 10:20:00 AM","","","","","","","NA","-1228.52"
"7.1","2019-08-14"," 9:44:00 AM","2019-08-14"," 10:18:00 AM","CE","10950","Sell","65","34.48","43.12","","-561.52"
"7.2","2019-08-14"," 9:44:00 AM","2019-08-14"," 10:20:00 AM","CE","11050","Sell","65","56.42","66.68","","-667.00"
"8","2019-08-22"," 9:44:00 AM","2019-08-22"," 3:27:00 PM","","","","","","","NA","4669.42"
"8.1","2019-08-22"," 9:44:00 AM","2019-08-22"," 3:27:00 PM","CE","10900","Sell","65","24.94","0.05","","1617.69"
"8.2","2019-08-22"," 9:44:00 AM","2019-08-22"," 3:27:00 PM","CE","10950","Sell","65","73.76","26.81","","3051.73"
"9","2019-08-29"," 9:44:00 AM","2019-08-29"," 3:27:00 PM","","","","","","","NA","114.73"
