"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2019-02-14"," 9:44:00 AM","2019-02-14"," 3:27:00 PM","","","","","","","15.88","2984.00"
"1.1","2019-02-14"," 9:44:00 AM","2019-02-14"," 3:27:00 PM","CE","10750","Sell","65","39.68","0.05","","2575.96"
"1.2","2019-02-14"," 9:44:00 AM","2019-02-14"," 3:27:00 PM","CE","10800","Sell","65","75.61","69.33","","408.04"
"2","2019-02-21"," 9:44:00 AM","2019-02-21"," 11:38:00 AM","","","","","","","17.01","-1813.38"
"2.1","2019-02-21"," 9:44:00 AM","2019-02-21"," 11:23:00 AM","CE","10700","Sell","65","44.78","56.03","","-731.28"
"2.2","2019-02-21"," 9:44:00 AM","2019-02-21"," 11:38:00 AM","CE","10750","Sell","65","89.41","106.05","","-1082.10"
"3","2019-02-28"," 9:44:00 AM","2019-02-28"," 3:27:00 PM","","","","","","","18.32","207.55"
"3.1","2019-02-28"," 9:44:00 AM","2019-02-28"," 10:47:00 AM","CE","10800","Sell","65","42.63","53.33","","-695.37"
"3.2","2019-02-28"," 9:44:00 AM","2019-02-28"," 3:27:00 PM","CE","10800","Sell","65","115.94","102.05","","902.91"
"4","2019-03-07"," 9:44:00 AM","2019-03-07"," 3:27:00 PM","","","","","","","15.64","-105.42"
"4.1","2019-03-07"," 9:44:00 AM","2019-03-07"," 10:17:00 AM","CE","11050","Sell","65","15.44","19.31","","-251.38"
"4.2","2019-03-07"," 9:44:00 AM","2019-03-07"," 3:27:00 PM","CE","11000","Sell","65","105.65","103.40","","145.96"
"5","2019-03-14"," 9:44:00 AM","2019-03-14"," 3:27:00 PM","","","","","","","15.20","1797.91"
"5.1","2019-03-14"," 9:44:00 AM","2019-03-14"," 3:27:00 PM","CE","11350","Sell","65","24.64","0.05","","1598.20"
"5.2","2019-03-14"," 9:44:00 AM","2019-03-14"," 3:27:00 PM","CE","11350","Sell","65","79.06","75.99","","199.71"
"6","2019-03-20"," 9:44:00 AM","2019-03-20"," 3:27:00 PM","","","","","","","15.95","-73.40"
"6.1","2019-03-20"," 9:44:00 AM","2019-03-20"," 10:00:00 AM","CE","11500","Sell","65","38.53","48.22","","-630.07"
"6.2","2019-03-20"," 9:44:00 AM","2019-03-20"," 3:27:00 PM","CE","11550","Sell","65","90.15","81.59","","556.67"
"7","2019-03-28"," 9:44:00 AM","2019-03-28"," 9:56:00 AM","","","","","","","17.16","-2497.44"
"7.1","2019-03-28"," 9:44:00 AM","2019-03-28"," 9:48:00 AM","CE","11450","Sell","65","34.98","43.77","","-571.31"
"7.2","2019-03-28"," 9:44:00 AM","2019-03-28"," 9:56:00 AM","CE","11450","Sell","65","117.94","147.57","","-1926.13"
"8","2019-04-04"," 9:44:00 AM","2019-04-04"," 3:27:00 PM","","","","","","","19.02","4322.48"
"8.1","2019-04-04"," 9:44:00 AM","2019-04-04"," 3:27:00 PM","CE","11650","Sell","65","29.19","0.05","","1893.80"
"8.2","2019-04-04"," 9:44:00 AM","2019-04-04"," 3:27:00 PM","CE","11650","Sell","65","104.40","67.03","","2428.68"
"9","2019-04-11"," 9:44:00 AM","2019-04-11"," 3:27:00 PM","","","","","","","21.24","1221.78"
"9.1","2019-04-11"," 9:44:00 AM","2019-04-11"," 3:27:00 PM","CE","11600","Sell","65","19.24","0.10","","1244.12"
"9.2","2019-04-11"," 9:44:00 AM","2019-04-11"," 3:27:00 PM","CE","11600","Sell","65","93.50","93.85","","-22.34"
"10","2019-04-18"," 9:44:00 AM","2019-04-18"," 3:27:00 PM","","","","","","","22.35","2637.89"
"10.1","2019-04-18"," 9:44:00 AM","2019-04-18"," 3:27:00 PM","CE","11800","Sell","65","15.14","0.05","","981.01"
"10.2","2019-04-18"," 9:44:00 AM","2019-04-18"," 3:27:00 PM","CE","11800","Sell","65","72.26","46.77","","1656.88"
"11","2019-04-25"," 9:44:00 AM","2019-04-25"," 10:42:00 AM","","","","","","","23.17","-1505.79"
"11.1","2019-04-25"," 9:44:00 AM","2019-04-25"," 10:40:00 AM","CE","11700","Sell","65","44.98","56.28","","-734.54"
"11.2","2019-04-25"," 9:44:00 AM","2019-04-25"," 10:42:00 AM","CE","11750","Sell","65","59.47","71.34","","-771.25"
"12","2019-05-02"," 9:44:00 AM","2019-05-02"," 10:13:00 AM","","","","","","","22.50","-1894.98"
"12.1","2019-05-02"," 9:44:00 AM","2019-05-02"," 10:07:00 AM","CE","11700","Sell","65","48.03","60.08","","-783.51"
"12.2","2019-05-02"," 9:44:00 AM","2019-05-02"," 10:13:00 AM","CE","11700","Sell","65","91.00","108.10","","-1111.47"
"13","2019-05-09"," 9:44:00 AM","2019-05-09"," 10:52:00 AM","","","","","","","26.16","-1875.63"
