"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2019-02-14"," 9:17:00 AM","2019-02-14"," 3:27:00 PM","","","","","","","14.87","1546.36"
"1.1","2019-02-14"," 9:17:00 AM","2019-02-14"," 3:27:00 PM","CE","10800","Sell","65","16.74","0.05","","1084.95"
"1.2","2019-02-14"," 9:17:00 AM","2019-02-14"," 3:27:00 PM","CE","10850","Sell","65","55.02","47.92","","461.40"
"2","2019-02-21"," 9:17:00 AM","2019-02-21"," 12:55:00 PM","","","","","","","16.83","-2431.06"
"2.1","2019-02-21"," 9:17:00 AM","2019-02-21"," 12:55:00 PM","CE","10750","Sell","65","18.79","38.42","","-1275.86"
"2.2","2019-02-21"," 9:17:00 AM","2019-02-21"," 12:55:00 PM","CE","10800","Sell","65","63.47","81.24","","-1155.20"
"3","2019-02-28"," 9:17:00 AM","2019-02-28"," 3:27:00 PM","","","","","","","18.00","3235.14"
"3.1","2019-02-28"," 9:17:00 AM","2019-02-28"," 3:27:00 PM","CE","10850","Sell","65","31.68","0.05","","2056.22"
"3.2","2019-02-28"," 9:17:00 AM","2019-02-28"," 3:27:00 PM","CE","10900","Sell","65","71.81","53.68","","1178.92"
"4","2019-03-07"," 9:17:00 AM","2019-03-07"," 3:27:00 PM","","","","","","","15.32","1321.90"
"4.1","2019-03-07"," 9:17:00 AM","2019-03-07"," 3:27:00 PM","CE","11050","Sell","65","17.99","1.90","","1045.85"
"4.2","2019-03-07"," 9:17:00 AM","2019-03-07"," 3:27:00 PM","CE","11100","Sell","65","55.27","51.03","","276.05"
"5","2019-03-14"," 9:17:00 AM","2019-03-14"," 3:27:00 PM","","","","","","","15.36","1958.58"
"5.1","2019-03-14"," 9:17:00 AM","2019-03-14"," 3:27:00 PM","CE","11350","Sell","65","24.24","0.05","","1572.21"
"5.2","2019-03-14"," 9:17:00 AM","2019-03-14"," 3:27:00 PM","CE","11400","Sell","65","58.77","52.83","","386.37"
"6","2019-03-20"," 9:17:00 AM","2019-03-20"," 3:27:00 PM","","","","","","","16.24","1490.47"
"6.1","2019-03-20"," 9:17:00 AM","2019-03-20"," 3:27:00 PM","CE","11550","Sell","65","14.69","0.05","","951.77"
"6.2","2019-03-20"," 9:17:00 AM","2019-03-20"," 3:27:00 PM","CE","11600","Sell","65","66.52","58.23","","538.70"
"7","2019-03-28"," 9:17:00 AM","2019-03-28"," 9:48:00 AM","","","","","","","17.10","-2229.90"
"7.1","2019-03-28"," 9:17:00 AM","2019-03-28"," 9:48:00 AM","CE","11450","Sell","65","23.79","47.67","","-1552.57"
"7.2","2019-03-28"," 9:17:00 AM","2019-03-28"," 9:48:00 AM","CE","11550","Sell","65","65.17","75.59","","-677.32"
"8","2019-04-04"," 9:17:00 AM","2019-04-04"," 3:27:00 PM","","","","","","","19.09","4188.46"
"8.1","2019-04-04"," 9:17:00 AM","2019-04-04"," 3:27:00 PM","CE","11650","Sell","65","31.43","0.05","","2039.98"
"8.2","2019-04-04"," 9:17:00 AM","2019-04-04"," 3:27:00 PM","CE","11750","Sell","65","62.97","29.91","","2148.48"
"9","2019-04-11"," 9:17:00 AM","2019-04-11"," 3:27:00 PM","","","","","","","20.52","1429.66"
