"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2019-02-14"," 9:44:00 AM","2019-02-14"," 3:27:00 PM","","","","","","","15.88","1284.97"
"1.1","2019-02-14"," 9:44:00 AM","2019-02-14"," 3:27:00 PM","CE","10800","Sell","65","14.33","0.05","","928.05"
"1.2","2019-02-14"," 9:44:00 AM","2019-02-14"," 3:27:00 PM","CE","10850","Sell","65","53.63","48.14","","356.91"
"2","2019-02-21"," 9:44:00 AM","2019-02-21"," 12:53:00 PM","","","","","","","17.01","-2326.06"
"2.1","2019-02-21"," 9:44:00 AM","2019-02-21"," 12:53:00 PM","CE","10750","Sell","65","17.91","35.98","","-1174.48"
"2.2","2019-02-21"," 9:44:00 AM","2019-02-21"," 12:53:00 PM","CE","10800","Sell","65","62.83","80.55","","-1151.57"
"3","2019-02-28"," 9:44:00 AM","2019-02-28"," 3:27:00 PM","","","","","","","18.32","1782.46"
"3.1","2019-02-28"," 9:44:00 AM","2019-02-28"," 3:27:00 PM","CE","10850","Sell","65","18.41","0.05","","1193.22"
"3.2","2019-02-28"," 9:44:00 AM","2019-02-28"," 3:27:00 PM","CE","10900","Sell","65","62.98","53.92","","589.24"
"4","2019-03-07"," 9:44:00 AM","2019-03-07"," 3:27:00 PM","","","","","","","15.64","935.74"
"4.1","2019-03-07"," 9:44:00 AM","2019-03-07"," 3:27:00 PM","CE","11050","Sell","65","15.37","1.91","","875.11"
"4.2","2019-03-07"," 9:44:00 AM","2019-03-07"," 3:27:00 PM","CE","11100","Sell","65","52.19","51.25","","60.63"
"5","2019-03-14"," 9:44:00 AM","2019-03-14"," 3:27:00 PM","","","","","","","15.20","1776.55"
"5.1","2019-03-14"," 9:44:00 AM","2019-03-14"," 3:27:00 PM","CE","11350","Sell","65","24.53","0.05","","1590.97"
"5.2","2019-03-14"," 9:44:00 AM","2019-03-14"," 3:27:00 PM","CE","11400","Sell","65","55.92","53.06","","185.58"
"6","2019-03-20"," 9:44:00 AM","2019-03-20"," 3:27:00 PM","","","","","","","15.95","1084.38"
"6.1","2019-03-20"," 9:44:00 AM","2019-03-20"," 3:27:00 PM","CE","11550","Sell","65","11.29","0.05","","730.79"
"6.2","2019-03-20"," 9:44:00 AM","2019-03-20"," 3:27:00 PM","CE","11650","Sell","65","43.73","38.29","","353.58"
"7","2019-03-28"," 9:44:00 AM","2019-03-28"," 9:55:00 AM","","","","","","","17.16","-2200.75"
"7.1","2019-03-28"," 9:44:00 AM","2019-03-28"," 9:55:00 AM","CE","11500","Sell","65","13.58","30.45","","-1096.53"
"7.2","2019-03-28"," 9:44:00 AM","2019-03-28"," 9:55:00 AM","CE","11550","Sell","65","70.35","87.33","","-1104.22"
"8","2019-04-04"," 9:44:00 AM","2019-04-04"," 3:27:00 PM","","","","","","","19.02","3579.70"
"8.1","2019-04-04"," 9:44:00 AM","2019-04-04"," 3:27:00 PM","CE","11650","Sell","65","29.05","0.05","","1885.24"
"8.2","2019-04-04"," 9:44:00 AM","2019-04-04"," 3:27:00 PM","CE","11750","Sell","65","56.12","30.05","","1694.45"
"9","2019-04-11"," 9:44:00 AM","2019-04-11"," 3:27:00 PM","","","","","","","21.24","1539.61"
